Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,45.720001,47.490002,45.660000,47.270000,32.138210,112787
2006-01-04,47.400002,47.750000,45.610001,47.099998,32.022652,120441
2006-01-05,47.250000,47.419998,46.599998,46.759998,31.791473,60191
2006-01-06,46.900002,46.900002,46.570000,46.689999,31.743891,80407
2006-01-09,46.990002,47.000000,46.770000,46.950001,31.920664,136386
2006-01-10,47.000000,47.090000,46.700001,47.000000,31.954662,137942
2006-01-11,47.200001,47.349998,46.990002,47.150002,32.056644,147180
2006-01-12,47.349998,47.349998,47.009998,47.200001,32.090649,113484
2006-01-13,47.500000,47.500000,47.080002,47.150002,32.056644,94924
2006-01-16,46.990002,47.389999,46.580002,47.020000,31.968254,68034
2006-01-17,47.099998,47.299999,47.099998,47.250000,32.124626,97717
2006-01-18,47.189999,47.189999,45.130001,45.130001,30.683264,287164
2006-01-19,45.400002,47.000000,45.400002,45.570000,30.982424,264346
2006-01-20,46.119999,46.119999,45.650002,45.900002,31.206785,108663
2006-01-23,45.509998,45.650002,44.250000,45.020000,30.608484,274561
2006-01-24,45.000000,45.549999,44.930000,45.549999,30.968821,225715
2006-01-25,45.750000,46.730000,45.750000,46.509998,31.621519,253327
2006-01-27,46.599998,46.880001,46.360001,46.570000,31.662304,282988
2006-01-30,46.650002,47.060001,46.599998,46.939999,31.913862,106637
2006-01-31,46.930000,46.950001,45.180000,46.150002,31.376751,268670
2006-02-01,46.529999,46.700001,45.990002,46.639999,31.709896,161350
2006-02-02,46.599998,46.650002,46.270000,46.380001,31.533123,116832
2006-02-03,46.650002,46.650002,45.110001,45.790001,31.131989,89929
2006-02-06,45.200001,45.799999,44.880001,45.650002,31.036812,137092
2006-02-07,45.700001,47.009998,45.700001,47.009998,31.961445,186169
2006-02-08,46.500000,47.200001,46.400002,47.200001,32.090649,204875
2006-02-09,47.259998,49.299999,47.259998,48.799999,33.178452,224852
2006-02-10,48.500000,48.500000,47.770000,48.400002,32.906494,131184
2006-02-13,48.500000,48.970001,47.820000,48.349998,32.872498,142510
2006-02-14,49.250000,51.000000,49.000000,50.900002,34.606216,517966
2006-02-15,51.000000,51.250000,49.500000,49.750000,33.824345,514434
2006-02-16,49.509998,49.700001,48.150002,48.450001,32.940495,175209
2006-02-17,48.250000,48.720001,47.560001,47.700001,32.430573,173424
2006-02-20,47.310001,47.490002,46.720001,47.110001,32.334492,554152
2006-02-21,47.110001,47.380001,46.750000,47.099998,32.327621,318407
2006-02-22,47.119999,48.200001,47.009998,47.509998,32.609032,344936
2006-02-23,48.099998,48.099998,47.220001,47.919998,32.890434,176915
2006-02-24,47.950001,47.950001,47.099998,47.270000,32.444309,300464
2006-02-27,47.500000,48.509998,47.209999,47.900002,32.876713,197528
2006-02-28,47.869999,49.000000,47.849998,49.000000,33.631706,203390
2006-03-01,48.500000,48.799999,47.500000,47.549999,32.636486,201649
2006-03-02,47.549999,47.590000,47.200001,47.590000,32.663940,156217
2006-03-03,47.110001,47.590000,46.750000,47.049999,32.293308,154752
2006-03-06,46.599998,47.320000,46.200001,47.290001,32.458035,92311
2006-03-07,46.520000,47.389999,46.520000,47.009998,32.265850,142945
2006-03-08,46.500000,47.570000,46.500000,47.209999,32.403114,83713
2006-03-09,47.150002,47.490002,46.599998,46.950001,32.224674,141084
2006-03-10,51.000000,55.009998,50.000000,53.450001,36.686012,983783
2006-03-13,53.400002,53.450001,52.020000,52.700001,36.171253,296707
2006-03-14,52.500000,53.560001,52.419998,52.820000,36.253613,109256
2006-03-15,53.020000,53.450001,51.509998,51.990002,35.683929,427519
2006-03-16,52.099998,52.630001,52.029999,52.500000,36.033978,350976
2006-03-17,52.849998,52.849998,52.169998,52.310001,35.903568,129553
2006-03-20,52.150002,54.189999,52.150002,54.080002,37.118439,147509
2006-03-21,53.950001,54.000000,52.900002,52.900002,36.308517,143649
2006-03-22,52.930000,53.450001,52.930000,53.009998,36.384026,154447
2006-03-23,52.990002,53.299999,52.330002,53.040001,36.404621,162990
2006-03-24,53.000000,53.009998,52.299999,52.480000,36.020252,173235
2006-03-27,52.380001,53.400002,52.299999,53.400002,36.651703,63053
2006-03-28,52.500000,53.400002,52.500000,53.000000,36.377155,201867
2006-03-29,52.700001,53.500000,52.700001,53.299999,36.583061,148183
2006-03-30,53.299999,53.650002,52.880001,53.560001,36.761528,106696
2006-03-31,53.689999,53.799999,52.939999,53.139999,36.473248,268313
2006-04-03,52.610001,54.259998,52.599998,54.259998,37.241962,141199
2006-04-04,55.000000,55.380001,54.270000,54.650002,37.509655,217777
2006-04-05,55.000000,55.330002,54.820000,55.099998,37.818512,105700
2006-04-06,55.900002,56.000000,54.279999,54.700001,37.543968,106832
2006-04-07,54.200001,54.200001,52.799999,53.180000,36.500710,171326
2006-04-10,52.900002,53.299999,52.200001,52.650002,36.136932,130187
2006-04-11,52.570000,53.279999,52.570000,52.599998,36.102608,107738
2006-04-12,52.340000,53.299999,52.110001,52.360001,35.937885,233015
2006-04-13,52.400002,52.930000,52.349998,52.500000,36.033978,66931
2006-04-18,52.500000,53.110001,52.139999,52.950001,36.342834,93579
2006-04-19,53.000000,53.000000,52.180000,52.599998,36.102608,160866
2006-04-20,52.990002,52.990002,52.060001,52.150002,35.793747,139639
2006-04-21,52.299999,52.639999,52.020000,52.520000,36.047703,94643
2006-04-24,52.110001,52.389999,51.599998,51.599998,35.416245,204691
2006-04-26,52.000000,53.759998,51.959999,53.759998,36.898788,281947
2006-04-27,53.849998,53.849998,52.730000,53.400002,36.651703,233457
2006-04-28,53.020000,53.500000,52.250000,52.799999,36.239883,304439
2006-05-01,52.849998,53.439999,52.599998,52.900002,36.308517,147664
2006-05-02,52.500000,52.610001,51.099998,51.669998,35.464298,341888
2006-05-03,51.599998,51.599998,51.150002,51.299999,35.210342,164403
2006-05-04,51.150002,51.160000,50.470001,50.500000,34.661259,105127
2006-05-05,51.000000,54.270000,50.900002,54.000000,37.063511,268480
2006-05-08,54.150002,54.200001,52.849998,52.950001,36.342834,192962
2006-05-09,53.000000,54.000000,52.939999,53.250000,36.548748,172598
2006-05-10,53.980000,54.150002,53.720001,54.049999,37.097836,118596
2006-05-11,54.150002,54.990002,54.150002,54.799999,37.612614,168683
2006-05-12,54.700001,54.889999,54.169998,54.200001,37.200783,185230
2006-05-15,53.549999,53.660000,52.900002,53.049999,36.411476,156307
2006-05-16,53.049999,53.900002,53.049999,53.400002,36.651703,170371
2006-05-17,53.549999,54.720001,53.509998,54.119999,37.145874,93816
2006-05-18,53.049999,53.799999,53.049999,53.599998,36.788975,113179
2006-05-19,53.900002,53.900002,53.450001,53.500000,36.720337,161815
2006-05-22,53.500000,53.500000,53.200001,53.349998,36.617390,123640
2006-05-23,53.619999,53.709999,53.299999,53.360001,36.624241,164761
2006-05-24,53.209999,54.400002,53.099998,53.439999,36.679157,146975
2006-05-25,53.000000,53.290001,51.770000,51.799999,35.553524,153143
2006-05-26,52.709999,52.709999,51.009998,51.849998,35.587830,232167
2006-05-29,51.849998,52.500000,50.750000,50.750000,34.832851,155940
2006-05-30,51.200001,51.849998,51.139999,51.660000,35.457428,118135
2006-05-31,50.700001,51.459999,49.200001,49.200001,33.768986,558089
2006-06-01,49.970001,50.500000,49.889999,50.400002,34.592621,172574
2006-06-02,50.910000,51.200001,50.160000,51.200001,35.141705,175806
2006-06-05,51.000000,52.000000,50.610001,51.380001,35.265247,112309
2006-06-06,51.000000,52.009998,50.610001,51.459999,35.320160,194006
2006-06-07,50.650002,51.779999,50.000000,50.810001,34.874027,135258
2006-06-08,50.810001,51.590000,50.750000,51.000000,35.004433,276313
2006-06-09,51.099998,51.299999,50.220001,51.299999,35.210342,209543
2006-06-13,51.009998,51.009998,50.200001,50.299999,34.523979,162473
2006-06-14,49.799999,50.299999,49.330002,50.000000,34.318081,184725
2006-06-15,51.799999,51.810001,50.700001,50.930000,34.956387,383622
2006-06-16,51.450001,51.700001,51.009998,51.240002,35.169147,97064
2006-06-19,50.939999,52.400002,50.840000,52.119999,35.773159,127236
2006-06-20,52.119999,53.549999,52.119999,52.900002,36.308517,191477
2006-06-21,52.380001,53.500000,52.119999,53.299999,36.583061,162051
2006-06-22,53.500000,53.750000,53.299999,53.549999,36.754654,157738
2006-06-23,52.150002,52.700001,51.950001,52.700001,36.171253,112244
2006-06-26,52.700001,52.700001,51.820000,51.820000,35.567253,126469
